"","uniqueID","FID","Length","Treatment","Genus","Species","Activity","School.Individual","speed.FID","SpeedAvg","DFS.FID","DFSAvg"
"145","Shark 2LIZARD1_CAM4_RIG2",1592.574,211.539,"Shark","Lutjanus","fulviflamma","flight","Individual",0.16073318,0.0222883333333333,263.014,130.175
"146","Shark 2LIZARD1_CAM4_RIG2",1592.574,211.539,"Turtle","Lutjanus","fulviflamma","flight","Individual",0.16073318,0.0222883333333333,263.014,130.175
"147","Shark 2LIZARD1_CAM6_RIG1",2277.881,163.1,"Shark","Lutjanus","fulviflamma","flight","Individual",0.223373295,0.220502333333333,100.373,116.173
"148","Shark 2LIZARD2_CAM3_RIG1",1670.8,258.572,"Shark","Diagramma","pictum","flight","Individual",0.199788078,0.033691,265.135,262.4485
"149","Shark 2LIZARD2_CAM4_RIG1",1587.086,312.699,"Shark","Diagramma","pictum","no response","Individual",0,0,101.942,157.729
"150","Shark 2LIZARD2_CAM4_RIG1",1587.086,312.699,"Turtle","Diagramma","pictum","no response","Individual",0,0,101.942,157.729
"151","Shark 2LIZARD2_CAM5_RIG3",1278.937,307.483,"Shark","Plectorhinchus","chrysotaenia","no response","Individual",NA,0.0123713333333333,499.087,498.751333333333
"152","Shark 2LIZARD3_CAM1_RIG1",1558.45,NA,"Shark","Plectorhinchus","albovittatus","flight","Individual",1.804476923,0.038171889,1064.438,173.9005
"153","Shark 2LIZARD3_CAM1_RIG1",1558.45,NA,"Shark","Plectorhinchus","chrysotaenia","flight","Individual",1.804476923,0.038171889,1064.438,173.9005
"154","Shark 2LIZARD3_CAM3_RIG2",1119.024,307.64,"Shark","Plectorhinchus","albovittatus","no response","Individual",0,0,NA,NA
"155","Shark 2LIZARD3_CAM3_RIG2",1119.024,307.64,"Shark","Plectorhinchus","sp","no response","Individual",0,0,NA,NA
"156","Shark 2LIZARD4_CAM2_RIG3",613.29,NA,"Shark","Plectropomus","sp","flight","Individual",NA,NA,412.948,48.447
"157","Shark 2LIZARD4_CAM2_RIG3",613.29,NA,"Shark","Plectropomus","sp","flight",NA,NA,NA,412.948,48.447
"158","Shark 2LIZARD4_CAM4_RIG1",1963.081,437.9,"Shark","Plectorhinchus","chrysotaenia","flight","Individual",0.279903913,0.0257612223333333,797.49,167.912666666667
"159","Shark 2LIZARD4_CAM5_RIG1",2069.6,348.225,"Shark","Plectorhinchus","lineatus","flight","Individual",0.193540872,0,228.779,288.457333333333
"160","Shark 2LIZARD4_CAM5_RIG1",2069.6,348.225,"Pipe","Plectorhinchus","lineatus","flight","Individual",0.193540872,0,228.779,288.457333333333
"161","Shark 3aLIZARD1_CAM4_RIG2",1111.839,99.465,"Shark","Lutjanus","sp","hide","School",0.040559686,0.00954066666666667,77.347,125.612666666667
"162","Shark 3aLIZARD4_CAM2_RIG3",761.867,NA,"Shark","Lutjanus","fulviflamma","flight","School",NA,NA,301.622,282.32
"163","Shark 3bLIZARD1_CAM4_RIG2",1164.206,118.536,"Shark","Lutjanus","sp","hide","School",0,0,91.43,121.021333333333
"164","Shark 3bLIZARD4_CAM2_RIG3",784.852,NA,"Shark","Lutjanus","fulviflamma","flight","School",NA,NA,223.737,225.212
"165","Shark 3LIZARD2_CAM3_RIG1",1895.173,237.704,"Shark","Diagramma","pictum","flight","Individual",0.034018491,0.0642805,332.596,187.997
"166","Shark 3LIZARD3_CAM1_RIG1",1361.233,382.229,"Shark","Plectorhinchus","chrysotaenia","hide","Individual",0.642214953,0.029399111,298.225,281.827333333333
"167","Shark 3LIZARD4_CAM4_RIG1",2357.937,739.431,"Shark","Lutjanus","bohar","flight","Individual",0.505414371,0.120573667,577.773,246.043666666667
"168","Shark 3LIZARD4_CAM4_RIG1",2357.937,739.431,"Perspex","Lutjanus","bohar","flight","Individual",0.505414371,0.120573667,577.773,246.043666666667
"169","Shark 4aLIZARD4_CAM4_RIG1",1177.173,237.438,"Shark","Lutjanus","fulviflamma","flight","School",0.166897297,0.149250333333333,103.913,380.335
"170","Shark 4bLIZARD4_CAM4_RIG1",1074.558,210.528,"Shark","Lutjanus","fulviflamma","flight","School",0.415754054,0.184240333333333,194.848,441.09
"171","Shark 4cLIZARD4_CAM4_RIG1",1037.583,215.495,"Shark","Lutjanus","fulviflamma","flight","School",0.358875676,0.158279333333333,172.845,374.892333333333
